dataset,run_name,status,n_rows,cvar95_combined_nll,mean_combined_nll,cvar95_tl_color_nll,cvar95_tl_confidence_nll,mean_tl_discrepancy,mean_tl_discrepancy_residual,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
nom_v11,goal_006_t2_20260722_122711,goal_reached,1579,-14.978040176101878,-19.496236598816303,2.2407203648663776,2.5412224900873404,0.05889803673210893,0.04154443941707755,,False,3.5051815509796143
nom_v11,goal_007_t1_20260722_134547,goal_reached,1498,-14.503790760040284,-18.673392923237962,1.4892510382334392,2.0967486842473346,0.036048064085447265,0.0768785725847383,,False,10.898716926574707
nom_v11,goal_007_t2_20260722_144735,goal_reached,1517,-15.436589579833182,-18.91211825228083,1.7468892288835425,1.8912920151886188,0.03493737640079104,0.07360113898255746,,False,10.099241971969604
nom_v11,goal_008_t1_20260722_134914,goal_reached,2127,-15.255380706252339,-20.058807553514157,1.7894217912281785,1.9607177499298738,0.0061118946873530795,0.035316651564216234,,False,9.694871425628662
nom_v11,goal_008_t2_20260722_145220,goal_reached,2038,-15.52052163142784,-20.024213687945394,1.480930409010719,1.6371145528905533,0.005397448478900883,0.04026607881043283,,False,5.886205434799194
nom_v11,goal_009_t1_20260722_135356,goal_reached,1688,-14.25003236321842,-19.942835105256446,2.0257365710595074,2.3477224335950964,0.05687203791469194,0.035318715726410405,,False,0.6860957145690918
nom_v11,goal_009_t2_20260722_145653,goal_reached,2218,-16.359041703713906,-20.808712718076166,1.4257150576995299,1.640819866378028,0.05184851217312895,0.030333132367410042,,False,8.204444885253906
nom_v11,goal_010_t1_20260722_135747,goal_reached,1608,-15.351590898301867,-20.182616202985468,2.505746853940281,2.606593170283753,0.07338308457711443,0.05250929141422277,,False,27.590208292007446
nom_v11,goal_010_t2_20260722_150148,goal_reached,1567,-14.280079491530792,-19.800801164569865,2.5551960174041457,2.837145577503156,0.08104658583280153,0.056843222380347135,,False,12.79708743095398
nom_v11,goal_011_t1_20260722_140127,goal_reached,1537,-15.501457957478312,-19.716204442835195,2.248528759974938,2.8414986845734833,0.04619388418998048,0.05070922548194077,,False,10.51004409790039
