position_loss,velocity_loss,steering_loss,acceleration_loss,total_nll,object_distance_loss,traffic_light_loss,total_loss
-172.0532532213633,-135.25335750401578,-49.24524998887677,-20.728468755323938,-377.2803282930844,0.027678673976678343,0.10175774302159514,-377.15089202595647
-173.41451783937828,-136.22803240624543,-49.77944656324535,-21.04414637437862,-380.46614298122324,0.02755787200366968,0.10084610546118003,-380.3377396533051
-174.28170595733548,-137.86311452039678,-50.46450772389445,-21.382545500900886,-383.9918728171851,0.02743500488523011,0.09999431024459292,-383.8644431045865
-175.04790865223728,-139.59336439471377,-51.06768242666654,-21.751186168825143,-387.460141856351,0.02731962092336836,0.09927002742097385,-387.33355266060045
-175.7546365803276,-140.85377787652416,-51.72006207760249,-22.078255079988377,-390.4067319115374,0.027200991287827492,0.09871404854772246,-390.28081609898265
-177.6701774716006,-141.89744434772624,-52.21833420988184,-22.328178435471198,-394.1141342210621,0.027107493522521862,0.09780155024795889,-393.9892255836558
-178.16253837989498,-143.32413109514943,-52.81984443308037,-22.554758778985043,-396.86127222364195,0.027000457065824036,0.09754865539965228,-396.73672228661655
-179.1258426083954,-144.19164620753017,-53.28267875267338,-22.848619865108503,-399.4487890320775,0.02691574639574018,0.09707585032855238,-399.32479734807
-180.2757113447813,-145.6519484950746,-53.91969447863808,-23.123263112481137,-402.9706171814155,0.026832813101115627,0.09680252039451094,-402.84698305694485
-181.7301889104635,-146.81026489638094,-54.45757425611264,-23.45027615793769,-406.44830474378165,0.026718035694269747,0.0961086826393166,-406.3254771960487
-182.1301126450393,-148.33621329904716,-55.00953115778177,-23.678875985546647,-409.15473315277575,0.026635373214323573,0.09546833951896597,-409.0326291853765
-183.63288228162725,-149.5111302170798,-55.46964048819378,-24.012199764311127,-412.62585468232817,0.02652501988564139,0.09498979278906855,-412.50434043622835
-185.62016125260112,-150.41587615681587,-55.86750564099844,-24.19693350866205,-416.10047812773803,0.02648812868977633,0.09438170439264856,-415.9796091240143
-185.02359755091206,-151.9922669788016,-56.355390328855904,-24.45581001804625,-417.8270645854629,0.026377427377201314,0.09346660168557153,-417.707221200533
-186.5427989543784,-152.78336060901296,-56.677860925502124,-24.788166806705274,-420.79218736690154,0.02636047425415843,0.09304634869284348,-420.672780449888
-187.44894908298957,-153.8816070081289,-56.9958898003599,-24.998186883896683,-423.32463154540255,0.02627384969007189,0.09241799450830507,-423.2059398425331
-188.85590074961058,-155.39587126639773,-57.37888074738214,-25.21490147552015,-426.8455530089381,0.02622300674239423,0.09151783949953744,-426.7278113439447
-189.001116553571,-156.22473529566113,-57.53613819585782,-25.497138668072186,-428.2591289389542,0.026172109128112363,0.09145140262593361,-428.14150592174116
-190.40516919287566,-156.48303678993867,-57.731360996995015,-25.699977666789497,-430.319544236608,0.026139156486711397,0.09079936532030967,-430.20260582089054
-191.14804186479324,-157.81620807588286,-57.97353178838332,-26.06058211044359,-432.99836469513605,0.02610261836945082,0.0904958392972144,-432.8817660608024
-192.04207846383068,-158.44708869910315,-58.04876308500581,-26.132241097566123,-434.67017133956386,0.026100987736774012,0.08974539869206717,-434.5543257573683
-193.69869168005258,-158.5765569098642,-58.240499906450786,-26.317974322310118,-436.83372321678473,0.02600271651677996,0.08986644430602451,-436.7178539620753
-193.9001815653293,-159.85291178575557,-58.362767038315624,-26.660996440043704,-438.77685584903134,0.025991055400711352,0.08966364990049433,-438.6611999321578
-195.487797769802,-160.22810962712654,-58.37967911241953,-26.584757593933297,-440.6803425346208,0.025974781353989864,0.0893967769506193,-440.5649701174917
-195.3245783535491,-160.75249426535729,-58.43115873723015,-27.180620365796432,-441.68884961850176,0.025947507575293568,0.0888804061297687,-441.5740229051061
-196.73200979262498,-161.26121021876824,-58.55046201569269,-27.321100953954772,-443.8647838366737,0.025925828463099085,0.0887927796424735,-443.7500645527587
-198.59371125883774,-161.71281233457762,-58.57116074131285,-27.319188899340286,-446.19687374507157,0.025937803704697768,0.08884644143956473,-446.0820894330461
-198.29184672988464,-162.02312196155202,-58.58929986448674,-27.631733237768632,-446.5360022809275,0.025938896775663457,0.08816370272840666,-446.42189895772486
-199.5361501153013,-162.30621889298578,-58.654880416727515,-27.670642971621124,-448.1678918380975,0.025825207298650548,0.08788710997390599,-448.05417887369794
-199.75633639041507,-162.8392622998199,-58.6987902204567,-27.951583612745054,-449.2459729156019,0.025885696351713852,0.0879583763556317,-449.1321297999112
-200.56869254899544,-162.7818278375073,-58.76532226039613,-28.19010258612232,-450.30594480520466,0.02581361637703169,0.08781924616324939,-450.1923120801694
-201.7043343897549,-163.06806113935335,-58.75054320813711,-28.37170944926895,-451.89464904214736,0.025851183753704356,0.08750036214928018,-451.7812972499574
-202.22994082441954,-163.73843649986006,-58.77306723668939,-28.673443286218376,-453.41488761545344,0.025801964144793996,0.0875857090374391,-453.30150055216853
-202.67680905541155,-163.82842670571395,-58.83071570233021,-28.734024642041167,-454.0699769967813,0.025826349918298262,0.08755830533779299,-453.9565925003955
-203.0003710119895,-164.05676573756327,-58.78037687402648,-28.98467650368949,-454.82218985394155,0.025828745546881283,0.08732792665468198,-454.7090322904498
-203.52338259688048,-164.07919302016404,-58.95708850611036,-29.22674994305287,-455.7864131749233,0.02578173975265843,0.08722390889007355,-455.67340781904085
-205.1237327599451,-164.5017173980998,-58.8695679423965,-29.410875445214387,-457.90589367637756,0.025792098798530866,0.08725641916195552,-457.7928439226477
