position_loss,velocity_loss,steering_loss,acceleration_loss,traffic_light_state_loss,total_nll,position_l2_raw,velocity_l1_raw,traffic_light_loss,traffic_light_discrepancy_loss,total_loss
-2.3242593054185834,-4.335447308891698,-0.9431427010318689,-2.4722343018180446,-0.9966999206626624,-11.071783561037298,0.01140079790758982,0.024734168551992952,0.07573238820360417,0.048001360540327276,-10.948049762792754
-2.3160024366880716,-4.266216639468545,-0.9070309385918734,-2.444458789992751,-0.9885763954697994,-10.922285200420179,0.011381866590103559,0.024239935627893398,0.07290653446525858,0.046256171859670105,-10.803122500369422
-2.2694535129948665,-4.217541918001677,-0.8799674370832611,-2.4279629464735066,-0.9798490141567431,-10.774774758857593,0.01110113287311897,0.023670606217102,0.06957533888910947,0.04388408919044754,-10.661315308955677
-2.1852412742480896,-4.059249336677685,-0.8361155380282486,-2.381562484774673,-0.9652506366110685,-10.427419274313408,0.010497929920491419,0.0223777457352793,0.06694547750970774,0.042183739469762435,-10.31829004455031
-2.150935995787905,-4.015819137974789,-0.8159527648959244,-2.3702195953904535,-0.9560888443076819,-10.30901633480139,0.010329678255999298,0.022129277904566966,0.0650965410366393,0.041348176233862576,-10.202571631314461
-2.1331943662543047,-3.981640607432315,-0.7987831385512101,-2.3575593036517764,-0.9497853195458128,-10.220962748611182,0.010291551873741443,0.022064385987948954,0.06408480693373764,0.040653505692617935,-10.116224462944164
-2.106008533845868,-3.938599127217343,-0.7784381450268261,-2.3458855252516897,-0.9507788047455905,-10.119710142570629,0.010124146454689795,0.02164842798783068,0.0628342429012583,0.040100134320949256,-10.01677577035469
-2.106509058099044,-3.8893754398613645,-0.7622066943269027,-2.322736246544018,-0.9397602773549264,-10.020587737100167,0.010185643089445013,0.021211854218129527,0.06170697562527238,0.03911512424809891,-9.919765643069619
-2.082138855415478,-3.87692186121355,-0.7454427963808963,-2.322575723915769,-0.9339618415163274,-9.961041099146792,0.010017693096673802,0.021081522035232763,0.06008200206254658,0.037981958105637315,-9.862977134972288
-2.0767852540601766,-3.837641261753283,-0.7306238768393534,-2.310846721916868,-0.9315280654974151,-9.887425141585501,0.00995918462673823,0.020924029198654912,0.05994866265539538,0.03792959819629527,-9.789546889589545
-2.0659168686783103,-3.798385198492753,-0.7148787205679374,-2.304403469855325,-0.9266779836855437,-9.810262214928343,0.009955420103250888,0.020552606063715197,0.05897630792960786,0.037273537132300825,-9.71401240365547
