position_loss,velocity_loss,steering_loss,acceleration_loss,traffic_light_color_loss,traffic_light_confidence_loss,total_nll,position_l2_raw,velocity_l1_raw,traffic_light_discrepancy_loss,total_loss
-1.715210545187195,-3.1185604371130466,-0.584564224894469,-2.2402343032881618,-0.8670030849364897,-0.9722695761981109,-9.497842175265154,0.008205160423434185,0.016398916590939432,0.02148295662724801,-9.476359230776628
-1.7055151180053751,-3.1072007908175387,-0.5874393379005293,-2.2341208842893443,-0.8645739813024799,-0.9722385268347958,-9.471088650325934,0.008152408421058984,0.016340018997046474,0.02138236491009593,-9.449706291158995
-1.7105329014981787,-3.104792724053065,-0.5815653235185891,-2.2334060448532305,-0.8662877714571854,-0.9688676938725015,-9.465452445050081,0.008221260212546136,0.01626292495833089,0.02115935738402186,-9.4442930718263
-1.7121299815674622,-3.091217645754417,-0.5773824499143908,-2.228272596063713,-0.8632388493667046,-0.9688068255782127,-9.44104832659165,0.008208793487331908,0.016236077821910538,0.02106541718239896,-9.419982930024466
-1.6878035850822926,-3.0711064065496125,-0.5748354059954485,-2.220628222761055,-0.8615069384686649,-0.966493240557611,-9.382373784979185,0.008059741148220686,0.016028416333332036,0.021034739816968795,-9.361339050034681
-1.682055752724409,-3.0679393485188484,-0.5747886601214608,-2.212889795191586,-0.861692217644304,-0.967388071740667,-9.366753779351711,0.008049010512574265,0.016095358473345794,0.02093733169992144,-9.345816468199095
-1.6728887197872002,-3.066559619580706,-0.5779395068529993,-2.212032014193634,-0.857728740821282,-0.9628834541266164,-9.350032046437263,0.008032913160908114,0.016041127285764862,0.020965004890361644,-9.329067043960094
-1.6780804799248774,-3.058137554054459,-0.5737183805710325,-2.2129709605748453,-0.858733030812194,-0.9630343519772092,-9.344674736261368,0.008031786808714969,0.015978354502294678,0.020660922081636574,-9.32401379942894
-1.6671641434853275,-3.04207707879444,-0.570179438063254,-2.2073420910164714,-0.8545987180744609,-0.9612112132211527,-9.302572645246983,0.007987699901908249,0.015849561105521087,0.020767997288203333,-9.281804646054903
-1.6761600502456229,-3.046175933132569,-0.5702747490722686,-2.20153997776409,-0.8550396764961382,-0.9631968258569638,-9.312387213110924,0.00809347035222648,0.015946190568987124,0.020495142261400662,-9.291892108817896
-1.6676291922728221,-3.0309667444477477,-0.5650398744425426,-2.1952780665208897,-0.8532886550140878,-0.9602352144817511,-9.272437733908495,0.008009906214283546,0.01579572286088175,0.020657550856412854,-9.251780172189077
-1.6636741198599339,-3.0353129394352436,-0.5685105347850671,-2.199279759389659,-0.8546851370483637,-0.9603756212939819,-9.281838029623032,0.008001188985266102,0.015874157308038168,0.020465591032310233,-9.261372429629168
-1.6707531151672204,-3.040710256745418,-0.5680811835142473,-2.1949830735102296,-0.85498267893369,-0.9597337759720782,-9.28924406816562,0.008026903461238058,0.015872689451498445,0.02052879579423461,-9.268715264896551
-1.6619386564319332,-3.027648910880089,-0.5645414404571056,-2.1917768757169447,-0.8509746422059834,-0.9564664456993341,-9.253346944848696,0.007965677898027934,0.015778606187571615,0.020439097917308875,-9.232907801866531
-1.6560813648005326,-3.0240229008098445,-0.5628892309808483,-2.191365895482401,-0.8512621352759501,-0.9579110795942446,-9.243532573183378,0.007973237594948538,0.015759492613142356,0.020449792359916803,-9.22308279077212
-1.649952189065516,-3.0082940937330327,-0.5604661658095816,-2.1857041101902723,-0.8494424273570379,-0.956436725333333,-9.210295689602694,0.007936421490740031,0.01568934102882243,0.020233520794135984,-9.19006218512853
-1.6447991309687495,-3.0086056223760047,-0.5617322355198363,-2.1848041377961636,-0.8473939374089241,-0.9563757466773192,-9.203710779547691,0.007930321855383227,0.01568839972120865,0.020293237900962897,-9.183417548735937
-1.6440452728420496,-3.0003189146518707,-0.5618782475745926,-2.176172612545391,-0.8478688655110697,-0.9579875809140503,-9.188271435598532,0.007921942765581965,0.015717567417596,0.02027510515472386,-9.16799632459879
-1.6455253204330802,-3.007535290593902,-0.5613802384274701,-2.183376516836385,-0.8471738190079728,-0.957820907390366,-9.202812055746714,0.007905900100013241,0.01561997258734967,0.020300840032480966,-9.18251121044159
-1.6480034518366058,-3.009835365538796,-0.560287844389677,-2.1787155950441957,-0.8465612619183958,-0.9545626843658587,-9.197966180741787,0.00792527850959838,0.015607771293919845,0.020443986264581326,-9.177522214750448
-1.6409323665623863,-2.995818354189396,-0.5588723059433202,-2.1726333517581224,-0.8450762090894083,-0.9539125639324387,-9.16724511484305,0.007894716991965348,0.015637132424065687,0.02025930190332777,-9.146985818942388
-1.6435226897398632,-3.003192452713847,-0.5595767625297109,-2.1751486606275043,-0.8444241406396031,-0.9531008925599357,-9.178965542465448,0.007910774747870164,0.015614896197803319,0.020300351628975477,-9.158665203799805
-1.6417055403192837,-2.997944333901008,-0.5578277558864405,-2.1726542372877398,-0.8470414460947117,-0.9553300657620033,-9.17250332981348,0.007888021961358996,0.015523453180018501,0.020224299032027677,-9.1522790218393
-1.6411754935979843,-2.9908437176297107,-0.5566480074388286,-2.171327270256976,-0.8425852754153311,-0.9542906509401897,-9.156870385011038,0.007933117654223073,0.015613164723617956,0.020123258136057604,-9.136747114360332
-1.6291251598546903,-2.987010053048531,-0.5548223023458073,-2.169286273109416,-0.8452189184414843,-0.9525615639674166,-9.138024238248667,0.007833970765204867,0.015517324526930073,0.020082369388546795,-9.117941866318384
-1.6317616390685241,-2.988941445325812,-0.556132410109664,-2.1656706609452763,-0.8428134260078272,-0.952808822815617,-9.13812838246425,0.007873485471160771,0.015601081795466598,0.020162744855042547,-9.117965618769327
-1.6409743052596848,-2.9915683486809335,-0.554893351936092,-2.174357984525462,-0.8461032346822321,-0.9536685524508357,-9.161565778156122,0.007951148915405307,0.015623529148191059,0.01998453583413114,-9.141581247250238
-1.6383987534791231,-2.995892762516936,-0.5576191251166165,-2.1671318486332893,-0.8433057808627685,-0.9522270013888677,-9.154575270911058,0.007886711715400452,0.015513512230730461,0.019953961770321865,-9.134621302286783
-1.6344616602485378,-2.982335694755117,-0.555204563230897,-2.1618926137064896,-0.8411330341671904,-0.9519272310038408,-9.126954764127731,0.00787270518655229,0.015461531142742993,0.019878930933676504,-9.10707583030065
-1.6322028307865064,-2.9815446784098945,-0.5572045409741501,-2.161262101804217,-0.8435067906975746,-0.9509865152649581,-9.12670743962129,0.00784877993404128,0.015546078286812795,0.02009770694227579,-9.106609717011452
-1.627560041534404,-2.9801306618998447,-0.5560638986838361,-2.1647968317071595,-0.8410611827857792,-0.9505394254811108,-9.120152071118355,0.007827250339081123,0.015431810534209944,0.020104680595977698,-9.100047374765078
-1.6283635788907607,-2.9806482481459775,-0.5553716345845411,-2.1613342529162765,-0.8401012383401394,-0.9500576294958591,-9.115876600146294,0.007837683830681877,0.01552106986491708,0.02011542580051658,-9.095761184891066
-1.6274629198014736,-2.9815723535915217,-0.5541328220472982,-2.158903919160366,-0.8405982966845235,-0.9500891595768431,-9.112759488324324,0.007833388357539661,0.01544540379109094,0.019799260876122087,-9.092960253357887
-1.6249119363104303,-2.976864319294691,-0.5534140931752821,-2.158594172137479,-0.839721277821809,-0.9496519736324748,-9.103157759954533,0.00780107483175622,0.015426921842542166,0.020129015494603664,-9.083028746147951
-1.621929124308129,-2.975658072779576,-0.5536611864032844,-2.1590636074543,-0.8406604312670728,-0.9502581208944321,-9.101230539381504,0.007834528041712474,0.01546440632713105,0.01980459995441682,-9.081425939997038
-1.6227936754003167,-2.9732139414797225,-0.5523292881747087,-2.1547203321630755,-0.8412559029335777,-0.9497295124456286,-9.094042643904686,0.007828715800618133,0.015382701543179186,0.019794463446790662,-9.074248179793358
